rank,stadium,capacity,region,country,city,images,home_team
1,Rungrado 1st of May Stadium,"114,000",East Asia,North Korea,Pyongyang,,"Korea DPR national football team, Korea DPR women's national football team, April 25"
2,Michigan Stadium,"107,601",North America,United States,"Ann Arbor, Michigan",,Michigan Wolverines football
3,Ohio Stadium,"102,780",North America,United States,"Columbus, Ohio",,Ohio State Buckeyes football
4,Melbourne Cricket Ground,"100,024",Oceania,Australia,"Melbourne, Victoria",,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC"
5,Camp Nou,"99,354",Europe,Spain,"Barcelona, Catalonia",,FC Barcelona
6,Estadio Azteca,"95,500",North America,Mexico,Mexico City,,"Club América, Cruz Azul, Mexico national football team"
7,FNB Stadium,"94,736",Africa,South Africa,"Johannesburg, Gauteng",,"South Africa national football team, Kaizer Chiefs"
8,New Administrative Capital Stadium,"93,940",Africa,Egypt,New Administrative Capital,,Egypt national football team
9,Rose Bowl Stadium,"92,800",North America,United States,"Pasadena, California",,UCLA Bruins
10,Cotton Bowl Stadium,"92,100",North America,United States,"Dallas, Texas",,
11,Wembley Stadium,"90,000",Europe,England,"London, England",,England national football team
12,Lusail Stadium,"88,966",West Asia,Qatar,Lusail,,Qatar national football team
13,Bukit Jalil National Stadium,"87,411",Southeast Asia,Malaysia,Kuala Lumpur,,Malaysia national football team
14,Borg el-Arab Stadium,"86,000",Africa,Egypt,Alexandria,,"Egypt national football team, Al Ittihad, Smouha"
15,Estadio Santiago Bernabéu,"85,000",Europe,Spain,Madrid,,Real Madrid
16,Estadio Mâs Monumental,"84,567",South America,Argentina,Buenos Aires,,"Argentina national football team, River Plate"
17,Stadium Australia,"83,500",Oceania,Australia,"Sydney, New South Wales",,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team"
18,MetLife Stadium,"82,500",North America,United States,"East Rutherford, New Jersey",,"New York Giants, New York Jets, United States men's national soccer team"
