rank,stadium,capacity,region,country,city,images,home_team,location
1.0,Rungrado 1st of May Stadium,114000.0,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Korea DPR national football team, Korea DPR women's national football team, April 25","[39.0496732, 125.7753215119]"
2.0,Michigan Stadium,107601.0,North America,United States,"Ann Arbor, Michigan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Michigan Wolverines football,"[42.2658652, -83.7486837676]"
3.0,Ohio Stadium,102780.0,North America,United States,"Columbus, Ohio",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Ohio State Buckeyes football,"[40.00164575, -83.0197374422]"
4.0,Melbourne Cricket Ground,100024.0,Oceania,Australia,"Melbourne, Victoria",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC","[-37.819909, 144.9832250067]"
5.0,Camp Nou,99354.0,Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,FC Barcelona,"[41.3808046, 2.1158872]"
6.0,Estadio Azteca,95500.0,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Club América, Cruz Azul, Mexico national football team","[19.3029794, -99.1504699526]"
7.0,FNB Stadium,94736.0,Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"South Africa national football team, Kaizer Chiefs","[-26.23470625, 27.9826439004]"
8.0,New Administrative Capital Stadium,93940.0,Africa,Egypt,New Administrative Capital,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Egypt national football team,"[29.8921738, 31.6732269881]"
9.0,Rose Bowl Stadium,92800.0,North America,United States,"Pasadena, California",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,UCLA Bruins,"[34.16134915, -118.1676673983]"
10.0,Cotton Bowl Stadium,92100.0,North America,United States,"Dallas, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[32.77961185, -96.759602529]"
11.0,Wembley Stadium,90000.0,Europe,England,"London, England",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,England national football team,"[51.55606945, -0.2796033938]"
12.0,Lusail Stadium,88966.0,West Asia,Qatar,Lusail,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Qatar national football team,"[25.4209062, 51.4904783538]"
13.0,Bukit Jalil National Stadium,87411.0,Southeast Asia,Malaysia,Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Malaysia national football team,"[3.0546755, 101.6913690326]"
14.0,Borg el-Arab Stadium,86000.0,Africa,Egypt,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Egypt national football team, Al Ittihad, Smouha","[30.9994696, 29.7294321536]"
15.0,Estadio Santiago Bernabéu,85000.0,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Real Madrid,"[40.4530225, -3.6874219587]"
16.0,Estadio Mâs Monumental,84567.0,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Argentina national football team, River Plate","[-34.54529325, -58.4497385229]"
17.0,Stadium Australia,83500.0,Oceania,Australia,"Sydney, New South Wales",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team","[-33.8471082, 151.0633848447]"
18.0,MetLife Stadium,82500.0,North America,United States,"East Rutherford, New Jersey",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"New York Giants, New York Jets, United States men's national soccer team","[40.81352375, -74.0734007489]"
19.0,Croke Park,82300.0,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Gaelic Athletic Association, Dublin GAA","[53.36035755, -6.2509811826]"
20.0,Jakarta International Stadium,82000.0,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Persija Jakarta, Indonesia national football team","[-6.12507475, 106.860200959]"
21.0,Lambeau Field,81441.0,North America,United States,"Green Bay, Wisconsin",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Green Bay Packers,"[44.50095825, -88.0610340438]"
